"UKA_app0.UKA0.contrast","UKA_app0.UKA0.Sgroup_contrast","UKA_app0.UKA0.Kinase Name","UKA_app0.UKA0.Kinase Uniprot ID","UKA_app0.UKA0.Kinase entrezid","UKA_app0.UKA0.Kinase Group","UKA_app0.UKA0.Kinase Family","UKA_app0.UKA0.Median Final score","UKA_app0.UKA0.Final score rank","UKA_app0.UKA0.Mean Significance Score","UKA_app0.UKA0.Mean Specificity Score","UKA_app0.UKA0.Median Kinase Statistic","UKA_app0.UKA0.Median Kinase Change","UKA_app0.UKA0.Mean peptide set size","UKA_app0.UKA0.Max Final score","UKA_app0.UKA0.SD Kinase Statistic","UKA_app0.UKA0.Mean Kinase Statistic"
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK11","Q15759",5600,"CMGC","MAPK",0.5386038032073674,80,0.48945498979338786,0.04914881341397962,0.6464743279327806,0.1899178028106728,3.0,0.5390901354172648,0.0,0.6464743279327806
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK12","P53778",6300,"CMGC","MAPK",0.2302210634188714,91,0.3472753036839382,0.01704363465990247,0.3455996200500271,0.08222866058349898,5.0,0.7924194852345687,0.3230379487957327,0.5188296482733871
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK13","O15264",5603,"CMGC","MAPK",1.0112627247111998,66,0.9650343104714905,0.13819020259108628,1.2384448093225118,0.2339347941534918,6.0,1.6955094722265125,0.25286521783253524,1.3158793258751371
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK14","Q16539",1432,"CMGC","MAPK",0.9096713931765777,75,0.7838588857979565,0.08501847233579117,1.132956405897527,0.2188440031475498,6.0,0.9965394678904935,0.1459829668310682,1.1254655135920568
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK3","P27361",5595,"CMGC","MAPK",1.0457574905606752,65,1.0781152845782052,0.0973496156449107,1.1658501465964584,0.13025854527950798,6.0,1.4724216504946075,0.2133593044977704,1.1719689457137783
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK7","Q13164",5598,"CMGC","MAPK",0.8249523004738325,77,0.9057149968805631,0.06632412681658373,0.8952364716764087,0.1745164692401875,5.0,1.4862498499181764,0.1919781688597872,0.9959982689233662
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK8","P45983",5599,"CMGC","MAPK",0.944010416614309,74,0.9208187539523752,0.024641336396422117,1.0536415834821489,0.1798477823084075,11.0,0.9560878328987459,0.02895242157254942,1.0632923906729985
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK9","P45984",5601,"CMGC","MAPK",1.0112627247111998,67,1.0574889982491038,0.10312499921075172,1.285232291162202,0.21615579393175238,8.0,1.4849743879679338,0.2237405570007433,1.2664338798110366
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPKAPK2","P49137",9261,"CAMK","MAPKAPK",1.4811703243889016,55,1.3187587626244128,0.16569919419245846,1.5613471038611795,0.2669193148613017,22.0,1.607795643629137,0.09689144743279177,1.5676502719286416
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPKAPK3","Q16644",7867,"CAMK","MAPKAPK",1.881008199804025,29,1.3187587626244128,0.47471150068399176,1.8206857846394127,0.2874538898468044,25.0,2.21838821750685,0.22606673572604058,1.7071013158187165
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MTOR","P42345",2475,"Atypical","PIKK",1.7505570385574178,36,1.3187587626244128,0.516273057481339,1.8999131207621183,0.3236960172653102,5.0,2.0220935723628815,0.14438669591604625,1.9961709180394824
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MYLK3","Q32MK0",91807,"CAMK","MLCK",2.327532686931918,14,1.3187587626244128,1.0170797823077133,2.8132537993058,0.47572934627533964,3.0,2.374276090474244,0.0,2.8132537993058
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","NPR1","P16066",4881,"RGC","RGC",1.0782095143418131,64,0.9650343104714905,0.15637713149387913,1.5089744552720523,0.32112271785735763,14.0,1.4952845334541118,0.05006829115595519,1.5151040566226792
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","NPR2","P20594",4882,"RGC","RGC",2.2695407399542313,16,1.3187587626244128,0.9561904202428585,2.6278933475583126,0.5069743692874882,4.0,2.293452897359643,0.022808681200117496,2.641061945789061
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PAK1","Q13153",5058,"STE","STE20",1.0112627247111998,68,0.9208187539523752,0.09268958999559189,1.0370407999248243,0.2933079898357418,4.0,1.0298391569626864,0.0,1.0370407999248243
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PIM1","P11309",5292,"CAMK","PIM",1.9278236555210337,28,1.3187587626244128,0.6185107248883369,1.793315553848296,0.2794814326546415,47.0,2.0539409396148764,0.01935147073131457,1.7910360125517137
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PIM2","Q9P1W9",11040,"CAMK","PIM",2.2543007733974942,17,1.3187587626244128,0.7995353775404719,1.9117130702205638,0.2788642883300765,29.0,2.4156687756324695,0.12370121147056319,1.8784799697552963
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PKN1","Q16512",5585,"AGC","PKN",1.49030737734609,54,1.3187587626244128,0.17154861472167712,1.397809707864805,0.2120250880718358,4.0,1.526367073126159,0.11316884236942253,1.397809707864805
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PKN2","Q16513",5586,"AGC","PKN",1.7722160991462819,34,1.3187587626244128,0.45345733652186904,2.047059544303275,0.2404071489970073,3.0,1.7722160991462819,,2.047059544303275
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PLK3","Q9H4B4",1263,"CAMK","PLK",2.21838821750685,19,1.3187587626244128,0.8633208683028998,2.7351709140641085,0.4830292463302559,4.0,2.3101585908624953,0.20618997694860774,2.5615846637100463
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKAA1","Q13131",5562,"CAMK","CAMKL",1.9495429052142699,27,1.3187587626244128,0.5524489915649538,2.0283445373312556,0.3412908857519062,10.0,2.0492458184064963,0.12442527123163484,1.9421406757947208
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKACA","P17612",5566,"AGC","PKA",4.017728766960431,1,1.3187587626244128,2.6989700043360187,2.222255333907958,0.35674005366386435,46.0,4.017728766960431,0.02867622307398025,2.2272624700699817
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKACB","P22694",5567,"AGC","PKA",2.813608784304507,7,1.3187587626244128,1.5096645030699178,2.1515203088417034,0.3543384344347076,23.0,4.017728766960431,0.08992331972354224,2.153869425471616
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKACG","P22612",5568,"AGC","PKA",1.1902796863439469,62,0.9208187539523752,0.26529102786874326,1.6385470045217563,0.3456666866938282,3.0,1.2064889942071422,0.0,1.6385470045217563
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCA","P17252",5578,"AGC","PKC",2.7624562618571256,8,1.3187587626244128,1.4445345323996726,2.193280382475269,0.3442171812057528,21.0,2.938547520912807,0.0026029342311903935,2.191414583168063
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCB","P05771",5579,"AGC","PKC",2.1092437480817816,24,1.3187587626244128,0.7342425144673128,2.031283875489262,0.3135641252293344,17.0,2.191653964259605,0.09042794232353928,1.9923265102470429
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCD","Q05655",5580,"AGC","PKC",2.293452897359643,15,1.3187587626244128,0.9623463522075175,2.087467295193046,0.3394284809336976,17.0,2.499214827082544,0.07900971270246776,2.0908010885280452
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCE","Q02156",5581,"AGC","PKC",1.6044290028791797,48,1.3187587626244128,0.25447680887365864,1.709337292905317,0.31096223780983595,15.0,1.6636203278130308,0.14024210807447063,1.6267532639032833
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCG","P05129",5582,"AGC","PKC",1.7254726956039557,37,1.2745432061052975,0.38018719637829623,1.8039076252813324,0.3206701397895844,10.0,1.868509654305052,0.18377683060026834,1.7539995393184726
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCH","P24723",5583,"AGC","PKC",1.6503728459344127,43,1.3187587626244128,0.2663566069795791,1.710956592583217,0.26595437526703175,10.0,1.69966543199767,0.22422939658007143,1.5893108141553962
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCI","P41743",5584,"AGC","PKC",0.9636905562755621,72,1.0976809800288363,0.05575719868846504,1.0579327657314062,0.2665439976586224,10.0,1.4277791656347238,0.13863761337757405,1.167387814061426
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCQ","Q04759",5588,"AGC","PKC",1.6541167870682874,42,1.3187587626244128,0.3287600928427614,1.7527084036454283,0.25914704137378447,15.0,1.7232625407988387,0.06249268502776052,1.7238261198168914
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKCZ","Q05513",5590,"AGC","PKC",1.4614262661931443,57,1.3187587626244128,0.1408340239523434,1.3625862713512111,0.1752431988716084,6.0,1.4675004139053376,0.0,1.3625862713512111
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKD1","Q15139",5587,"CAMK","PKD",1.7232625407988387,39,1.3187587626244128,0.40470483331325086,1.8856835793539133,0.3663585901260248,5.0,1.7673087646515375,0.0,1.8856835793539133
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKG1","Q13976",5592,"AGC","PKG",4.017728766960431,2,1.3187587626244128,2.6655222270400207,2.266575594646715,0.350309504403015,33.0,4.017728766960431,0.08410672957025991,2.276712600445599
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","PRKG2","Q13237",5593,"AGC","PKG",4.017728766960431,3,1.3187587626244128,2.3902865320711695,2.2646731591502482,0.34905161460241185,30.0,4.017728766960431,0.044214713005800134,2.244175408232415
